routerSerial,ri,action,movement,fall,battery,count,label,routerTime
B8-27-EB-F2-6B-8A,-91,4,5,0,0,96,Living,1595310967709
B8-27-EB-D5-33-8B,-97,14,9,0,0,92,Living,1595310967877
B8-27-EB-F2-6B-8A,-74,14,12,0,0,98,Living,1595310968752
B8-27-EB-AD-32-FA,-81,14,12,0,0,98,Living,1595310968769
B8-27-EB-6A-B8-0B,-82,4,8,0,0,99,Living,1595310969288
B8-27-EB-DB-FE-98,-90,14,22,0,0,101,Living,1595310970380
B8-27-EB-6A-B8-0B,-84,4,6,0,0,102,Living,1595310970961
B8-27-EB-DB-FE-98,-89,4,11,0,0,105,Living,1595310972052
B8-27-EB-F2-6B-8A,-92,14,22,0,0,101,Living,1595310972591
B8-27-EB-6A-B8-0B,-88,4,11,0,0,105,Living,1595310972819
B8-27-EB-DB-FE-98,-87,14,15,0,0,107,Living,1595310973010
B8-27-EB-6A-B8-0B,-71,14,15,0,0,107,Living,1595310973759
B8-27-EB-6A-B8-0B,-70,14,26,0,0,109,Living,1595310974420
B8-27-EB-6A-B8-0B,-78,4,23,0,0,111,Living,1595310974898
B8-27-EB-F2-6B-8A,-96,4,23,0,0,111,Living,1595310975066
B8-27-EB-F2-6B-8A,-87,14,26,0,0,112,Living,1595310975880
B8-27-EB-6A-B8-0B,-80,4,30,0,0,114,Living,1595310976849
B8-27-EB-F2-6B-8A,-82,4,12,0,0,117,Living,1595310977823
B8-27-EB-6A-B8-0B,-90,4,12,0,0,117,Living,1595310977994
B8-27-EB-6A-B8-0B,-62,14,40,0,0,119,Living,1595310978855
B8-27-EB-DB-FE-98,-85,4,39,0,0,120,Living,1595310979252
B8-27-EB-D5-33-8B,-82,14,23,0,0,118,Living,1595310979424
B8-27-EB-22-6B-12,-82,4,51,0,0,123,Living,1595310980883
B8-27-EB-22-6B-12,-88,14,52,0,0,125,Living,1595310981693
B8-27-EB-6A-B8-0B,-98,4,63,0,0,126,Living,1595310982135
B8-27-EB-22-6B-12,-87,14,33,0,0,128,Living,1595310983091
B8-27-EB-AD-32-FA,-79,14,33,0,0,128,Living,1595310983529
B8-27-EB-7A-0F-BF,-83,14,43,0,0,127,Living,1595310983910
B8-27-EB-AD-32-FA,-75,14,37,0,0,130,Living,1595310984050
B8-27-EB-6A-B8-0B,-81,14,37,0,0,130,Living,1595310984153
B8-27-EB-22-6B-12,-92,14,14,0,0,133,Living,1595310985553
B8-27-EB-AD-32-FA,-79,14,14,0,0,133,Living,1595310985900
B8-27-EB-6A-B8-0B,-81,14,14,0,0,133,Living,1595310986212
B8-27-EB-6A-B8-0B,-76,4,18,0,0,135,Living,1595310986700
B8-27-EB-AD-32-FA,-88,14,27,0,0,137,Living,1595310987404
B8-27-EB-22-6B-12,-80,14,27,0,0,137,Living,1595310987424
B8-27-EB-6A-B8-0B,-77,4,21,0,0,138,Living,1595310988328
B8-27-EB-7A-0F-BF,-84,14,61,0,0,143,Living,1595310990387
B8-27-EB-6A-B8-0B,-81,14,40,0,0,145,Living,1595310991220
B8-27-EB-AD-32-FA,-79,14,43,0,0,146,Living,1595310991728
B8-27-EB-6A-B8-0B,-90,4,44,0,0,147,Living,1595310992179
B8-27-EB-22-6B-12,-75,4,44,0,0,147,Living,1595310992361
B8-27-EB-AD-32-FA,-58,4,44,0,0,147,Living,1595310992387
B8-27-EB-7A-0F-BF,-87,14,26,0,0,148,Living,1595310992879
B8-27-EB-6A-B8-0B,-90,4,24,0,0,150,Living,1595310994374
B8-27-EB-6A-B8-0B,-76,14,31,0,0,152,Living,1595310994856
B8-27-EB-AD-32-FA,-85,14,20,0,0,154,Living,1595310995584
B8-27-EB-6A-B8-0B,-89,14,20,0,0,154,Living,1595310995536
B8-27-EB-22-6B-12,-83,14,20,0,0,154,Living,1595310995858
B8-27-EB-AD-32-FA,-69,14,10,0,0,157,Living,1595310997225
B8-27-EB-7A-0F-BF,-100,14,12,0,0,158,Living,1595310997485
B8-27-EB-22-6B-12,-92,4,12,0,0,159,Living,1595310997971
B8-27-EB-6A-B8-0B,-92,4,12,0,0,159,Living,1595310997963
B8-27-EB-AD-32-FA,-59,4,12,0,0,159,Living,1595310998130
B8-27-EB-7A-0F-BF,-99,14,22,0,0,160,Living,1595310998452
B8-27-EB-6A-B8-0B,-91,4,12,0,0,159,Living,1595310998422
